Altitude: 100.00 | X-coordinate: 100.35 | Y-coordinate: 100.35 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 100.71 | Y-coordinate: 100.71 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 101.06 | Y-coordinate: 101.06 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 101.41 | Y-coordinate: 101.41 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 101.77 | Y-coordinate: 101.77 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 102.12 | Y-coordinate: 102.12 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 102.47 | Y-coordinate: 102.47 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 102.83 | Y-coordinate: 102.83 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 288.44 | Y-coordinate: 288.44 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 368.70 | Y-coordinate: 368.70 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 494.92 | Y-coordinate: 494.92 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 100.35 | Y-coordinate: 100.35 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 100.71 | Y-coordinate: 100.71 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 101.06 | Y-coordinate: 101.06 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 101.41 | Y-coordinate: 101.41 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 101.77 | Y-coordinate: 101.77 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 102.12 | Y-coordinate: 102.12 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 102.47 | Y-coordinate: 102.47 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 100.35 | Y-coordinate: 100.35 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 100.71 | Y-coordinate: 100.71 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 101.06 | Y-coordinate: 101.06 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 101.41 | Y-coordinate: 101.41 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 101.77 | Y-coordinate: 101.77 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 102.12 | Y-coordinate: 102.12 | Speed: 5.00
Altitude: 100.00 | X-coordinate: 102.47 | Y-coordinate: 102.47 | Speed: 5.00
